Stadt,Anzahl_Firmen,lat,lon
Herten,3,0,0
Emmendingen,4,0,0
Lokstedt,3,0,0
später Bonn,5,0,0
Gollnow,4,0,0
Friedland,7,0,0
Friedrichroda,4,0,0
Rudolstadt,13,0,0
Radeberg,7,0,0
später Lotte,2,0,0
später Schwabach,2,0,0
Warendorf,8,0,0
später Annaburg,2,0,0
Büdingen,2,0,0
Eberswalde,13,0,0
später Kleinostheim,2,0,0
Amberg,12,0,0
Viersen,4,0,0
Nauen,5,0,0
Beuern,2,0,0
St. Louis,2,38.63501772,-90.23998051
Westrhauderfehn,2,0,0
St. Ingbert,4,0,0
Annemasse (Frankreich),2,0,0
Barcelona (Spanien),51,0,0
Josefsthal-Untermaxdorf,2,0,0
Trossingen,2,0,0
Rastatt,5,0,0
Tachau,3,0,0
Komotau,3,0,0
Eger,3,47.89500314,20.38300258
Borken,3,0,0
später Düsseldorf,5,0,0
Sorau,5,0,0
Bad Schwartau,2,0,0
Leonberg,4,0,0
Steinach,2,0,0
Santa Cruz (Brasilien),3,0,0
später Diessen,2,0,0
Tiegenhof,4,0,0
Bahn,2,0,0
Budweis,2,0,0
Lindow,3,0,0
Mühlacker,5,0,0
später Darmstadt,3,0,0
Uebigau,2,0,0
Mühlberg,2,0,0
später Oberreith-Gars,2,0,0
Odense (Dänemark),8,0,0
Emmerich,4,0,0
später Hessisch-Oldendorf,2,0,0
Lampertheim,2,0,0
Weißwasser,5,0,0
Zweibrücken,6,0,0
Neisse,8,0,0
Reichenbach,17,0,0
Gotha,27,0,0
Badenweiler,4,0,0
Reinbek,3,0,0
Wildberg,2,0,0
Stolpmünde,2,0,0
Berchtesgaden,11,0,0
Braunsberg,2,0,0
Ahlbeck,3,0,0
Nordenham,3,0,0
Wittenberg,9,0,0
Deutsch-Eylau,2,0,0
London (Grossbritannien),2,0,0
Schwelm,3,0,0
Zollikon (Schweiz),3,0,0
Fürth,19,0,0
Nördlingen,3,0,0
Neustadt a.d. Weinstrasse,5,0,0
Bad Freienwalde,3,0,0
Herne,12,0,0
Mansfeld,4,0,0
Meiningen,11,0,0
Glückstadt,4,0,0
Markkleeberg,15,0,0
Zöbigker,2,0,0
Neubabelsberg,2,0,0
Elbing,5,0,0
Schildow,3,0,0
Falkenstein,9,0,0
Antwerpen (Belgien),43,0,0
Oels,4,0,0
Meisenheim,2,0,0
später Münchberg,3,0,0
